School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
ASPIRE MONARCH ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,66,0,0,Down to None,98,98,98,98,98
ASPIRE TRIUMPH TECHNOLOGY ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,43,0,0,No Data,95,93,95,100,100
BELLA VISTA ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,113,0,0,No Opt-Outs,78,76,73,91,96
BRIDGES ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,No,88,0,0,No Opt-Outs,33,31,31,34,32
BROOKFIELD ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,54,0,0,No Opt-Outs,61,63,59,70,76
BURCKHALTER ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,33,0,0,Down to None,88,91,88,94,100
CARL B. MUNCK ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,48,0,0,No Opt-Outs,98,98,98,100,100
CHABOT ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,101,2,2,-1,94,92,93,95,97
CLEVELAND ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,71,0,0,Down to None,99,99,100,99,100
COMMUNITY UNITED ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,96,0,0,No Data,97,99,97,99,100
CONSERVATORY OF VOCAL INSTRUMENTAL ARTS,PUBLIC,ALAMEDA,OAKLAND,Y,No,23,0,0,No Data,100,83,100,100,100
CROCKER HIGHLANDS ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,68,1,1,-2,93,91,96,96,96
EAST OAKLAND LEADERSHIP ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,27,0,0,No Data,100,100,100,100,100
EAST OAKLAND PRIDE ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,54,0,0,No Data,35,39,41,37,41
EMERSON ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,74,1,1,Up from None,95,97,95,96,96
ENCOMPASS ACADEMY ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,54,0,0,No Opt-Outs,28,26,28,30,31
ESPERANZA ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,56,0,0,No Opt-Outs,96,95,96,98,100
FRANKLIN ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,125,0,0,No Opt-Outs,100,100,99,99,100
FRED T. KOREMATSU DISCOVERY ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,95,0,0,No Opt-Outs,96,95,95,94,98
FRUITVALE ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,67,0,0,Down to None,94,93,94,94,96
FUTURES ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,51,0,0,No Opt-Outs,96,98,96,98,98
GARFIELD ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,147,0,0,No Opt-Outs,84,86,77,95,95
GLENVIEW ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,77,0,0,Down to None,21,22,19,25,26
GLOBAL FAMILY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,98,0,0,No Data,100,100,100,99,100
GRASS VALLEY ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,63,0,0,No Opt-Outs,60,63,67,75,83
GREENLEAF ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,94,0,0,No Data,26,32,24,36,37
HILLCREST ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,44,0,0,No Opt-Outs,93,98,100,91,100
HOME AND HOSPITAL PROGRAM,PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
HOOVER ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,72,0,0,No Opt-Outs,47,50,49,53,56
HORACE MANN ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,92,0,0,No Opt-Outs,89,91,86,92,98
HOWARD ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,45,0,0,No Opt-Outs,76,78,76,78,82
"INDEPENDENT STUDY, SOJOURNER TRUTH",PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
INFANT AND PRESCHOOL PROGRAM,PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
INTERNATIONAL COMMUNITY,PUBLIC,ALAMEDA,OAKLAND,Y,No,50,0,0,No Opt-Outs,86,84,80,88,92
JOAQUIN MILLER ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,77,0,0,No Opt-Outs,83,83,86,87,92
KAISER ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,56,1,2,-1,96,93,96,98,98
LA ESCUELITA ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,64,0,0,No Opt-Outs,84,92,83,95,97
LAFAYETTE ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,27,0,0,No Opt-Outs,85,89,89,100,100
LAUREL ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,102,0,0,No Opt-Outs,27,25,26,30,32
LEARNING WITHOUT LIMITS,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,72,0,0,No Opt-Outs,100,100,100,100,100
LIGHTHOUSE COMMUNITY CHARTER,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,48,0,0,No Opt-Outs,100,100,100,100,100
LINCOLN ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,110,0,0,No Opt-Outs,95,96,95,98,99
MADISON PARK ACADEMY TK-5,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,66,0,0,No Opt-Outs,92,97,95,97,98
MANZANITA COMMUNITY,PUBLIC,ALAMEDA,OAKLAND,Y,No,71,0,0,No Opt-Outs,86,82,82,80,96
MANZANITA SEED,PUBLIC,ALAMEDA,OAKLAND,Y,No,100,0,0,No Opt-Outs,94,93,93,93,98
MARKHAM ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,100,0,0,No Opt-Outs,82,85,86,93,96
"MARTIN LUTHER KING, JR. ELEMENTARY",PUBLIC,ALAMEDA,OAKLAND,Y,No,67,0,0,No Opt-Outs,43,52,54,94,91
